Cancer Site ,TP53 Mutation %,2010
Brain,27,21129
Colon,43.2,142843
Esophagus,43.1,15601
Larynx,40.4,10366
Liver ,31.9,28153
Lung,38.6,193115
Lymphoma,19.1,76793
Pancreas,32.6,43159
Prostate,17.5,251933
Stomach,32,23787
Ovary,47.8,22363
Uteri,20.5,10253
Breast,25,227267
Bladder,26.4,69153
