Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Chelonioidea&taxon_reso=species&ident=all,,,,,,,,,,,,,,,
Access Time,Wed 2022-02-23 23:52:35 GMT,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,
,base_name,Chelonioidea,,,,,,,,,,,,,,
,idreso,species,,,,,,,,,,,,,,
,idtype,all,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,
Elapsed Time,0.0284,,,,,,,,,,,,,,,
Records Found,247,,,,,,,,,,,,,,,
Records Returned,247,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
767569,occ,,,81930,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767570,occ,,R,81931,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767570,occ,27054,,81931,Protostega gigas,species,96952,,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,42113
767571,occ,,,81932,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767572,occ,,,81933,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767573,occ,,,81934,Protostega dixie,species,125120,subjective synonym of,Protostega gigas,species,96952,Late Santonian,Early Campanian,85.8,70.6,786
767574,occ,,,81935,n. gen. Calcarichelys n. sp. gemma,species,125121,,Calcarichelys gemma,species,125121,Late Santonian,Early Campanian,85.8,70.6,786
768008,occ,,,81972,Thinochelys n. sp. lapisossea,species,127985,,Thinochelys lapisossea,species,127985,Late Santonian,Early Campanian,85.8,70.6,787
768012,occ,,,82002,n. gen. Lophochelys n. sp. natatrix,species,128352,,Lophochelys natatrix,species,128352,Coniacian,Santonian,89.8,83.6,787
768013,occ,,,82002,Lophochelys n. sp. niobrarae,species,128353,,Lophochelys niobrarae,species,128353,Coniacian,Santonian,89.8,83.6,787
768014,occ,,,81927,Lophochelys n. sp. venatrix,species,127991,,Lophochelys venatrix,species,127991,Late Santonian,Early Campanian,85.8,70.6,787
768015,occ,,,81933,Lophochelys venatrix,species,127991,,Lophochelys venatrix,species,127991,Late Santonian,Early Campanian,85.8,70.6,787
768104,occ,,,82035,n. gen. Corsochelys n. sp. haliniches,species,128700,corrected to,Corsochelys halinches,species,128700,Early Campanian,,83.5,70.6,788
768748,occ,,,81934,Chelosphargis cf. advena,species,125124,,Chelosphargis advena,species,125123,Late Santonian,Early Campanian,85.8,70.6,27182
768754,occ,,,81927,Chelosphargis cf. advena,species,125124,,Chelosphargis advena,species,125123,Late Santonian,Early Campanian,85.8,70.6,27182
768755,occ,,,81972,Chelosphargis cf. advena,species,125124,,Chelosphargis advena,species,125123,Late Santonian,Early Campanian,85.8,70.6,27182
771707,occ,,,82635,Calcarichelys gemma,species,125121,,Calcarichelys gemma,species,125121,Early Campanian,,83.5,70.6,27814
789470,occ,,,85360,Syllomus crispatus,species,63978,,Syllomus crispatus,species,63978,Burdigalian,,20.44,15.97,12331
794239,occ,30702,,60285,Rhinochelys n. sp. nammourensis,species,312334,,Rhinochelys nammourensis,species,312334,Early Cenomanian,Middle Cenomanian,99.6,93.5,54006
813251,occ,,,89429,Psephophorus n. sp. rupeliensis,species,317853,,Psephophorus rupeliensis,species,317853,Rupelian,,33.9,28.1,29875
813252,occ,,,52047,Bryochelys waterkeyni,species,359400,,Bryochelys waterkeyni,species,359400,Rupelian,,33.9,28.1,29875
813253,occ,,,52047,Chelyopsis littoreus,species,359401,,Chelyopsis littoreus,species,359401,Rupelian,,33.9,28.1,29875
813254,occ,,,52047,Chelone vanbenedeni,species,359402,,Chelone vanbenedeni,species,359402,Rupelian,,33.9,28.1,29875
821685,occ,,,90466,n. gen. Terlinguachelys n. sp. fischbecki,species,150512,,Terlinguachelys fischbecki,species,150512,Middle Campanian,,83.5,70.6,30428
821689,occ,,,90468,n. gen. Porthochelys n. sp. laticeps,species,128346,,Porthochelys laticeps,species,128346,Late Cretaceous,,100.5,66,30430
823316,occ,,,59059,cf. Syllomus aegyptiacus,species,83307,,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,17284
833116,occ,,,92426,Emys n. sp. benstedi,species,235146,recombined as,Cimochelys benstedi,species,235146,Cenomanian,Turonian,100.5,89.8,15587
833117,occ,,,92426,Puppigerus camperi,species,313940,,Puppigerus camperi,species,313939,Cenomanian,Turonian,100.5,89.8,15587
858931,occ,,,95373,n. gen. Pacifichelys n. sp. urbinai,species,165652,,Pacifichelys urbinai,species,165652,Tortonian,,11.62,7.246,32455
899490,occ,,,100212,Peritresius virginianus,species,83313,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,34382
899491,occ,,,100213,Peritresius cf. virginianus,species,83313,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,34382
899492,occ,,,100214,Peritresius cf. virginianus,species,83313,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,34382
910887,occ,,,102879,Desmatochelys lowi,species,393402,"misspelling of, obsolete variant of",Desmatochelys lowii,species,173417,Turonian,,93.9,89.8,34803
914541,occ,,,71798,Syllomus crispatus,species,63978,,Syllomus crispatus,species,63978,Langhian,,15.97,13.82,34996
929223,occ,,,50944,Chelone n. sp. parvitecta,species,179145,recombined as,Chelonia parvitecta,species,179145,Aquitanian,Burdigalian,23.03,15.97,35435
973459,occ,,,115694,n. gen. Itilochelys n. sp. rasstrigin,species,197866,,Itilochelys rasstrigin,species,197866,Danian,,66,61.6,37400
989464,occ,,,119088,Nichollsemys baieri,species,83033,,Nichollsemys baieri,species,83033,Late Campanian,,83.5,70.6,38254
1013125,occ,,,120885,Puppigerus nessovi,species,316512,subjective synonym of,Puppigerus camperi,species,313939,Lutetian,,47.8,41.3,39898
1033759,occ,,,126602,Chelonia n. sp. marylandica,species,83312,subjective synonym of,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,41094
1034915,occ,,,84022,Lembonax n. sp. propylaeus,species,231912,,Lembonax propylaeus,species,231912,Bartonian,,41.3,38,41175
1034916,occ,,,123512,Lembonax n. sp. insularis,species,231913,recombined as,Eosphargis insularis,species,231913,Thanetian,,59.2,56,41175
1034920,occ,,,109024,Catapleura n. sp. ruhoffi,species,231920,recombined as,Tasbacka ruhoffi,species,231920,Late Paleocene,,58.7,55.8,731
1045199,occ,,,37596,Toxocheloides n. sp. narynensis,species,238132,,Toxocheloides narynensis,species,238132,Callovian,,166.1,163.5,41931
1049686,occ,,,129271,n. gen. Mesodermochelys n. sp. undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049687,occ,,,129272,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049688,occ,,,129273,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049689,occ,,,129274,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049690,occ,,,129275,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049691,occ,,,129276,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049692,occ,,,129277,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
