Cancer Site,2010
Brain,21129
Colon,142843
Esophagus,15601
Larynx,10366
Liver ,28153
Lung,193115
Lymphoma,76793
Pancreas,43159
Prostate,251933
Stomach,23787
Ovary,22363
Uteri,10253
Breast,227267
Bladder,69153
