Data Provider,The Paleobiology Database,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/strata_doc.html,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=Chelonioidea&taxon_reso=species&ident=all,,,,,,,,
Access Time,Mon 2022-02-21 16:47:09 GMT,,,,,,,,
Title,PBDB Data Service,,,,,,,,
Parameters:,,,,,,,,,
,base_name,Chelonioidea,,,,,,,
,idreso,species,,,,,,,
,idtype,all,,,,,,,
,timerule,major,,,,,,,
Elapsed Time,0.0194,,,,,,,,
Records Found,104,,,,,,,,
Records Returned,104,,,,,,,,
Records:,,,,,,,,,
record_type,group,formation,member,lithology,max_ma,min_ma,cc_list,n_colls,n_occs
str,,Vincentown,,,59.2,56,US,1,1
str,,Waihao Greensand,,sandstone,43,36,NZ,3,3
str,,Wullen,,"""limestone""",93.5,85.8,DE,1,1
str,Araripe,Santana,Romualdo,"""shale""",112.03,109,BR,1,1
str,Belly River,Dinosaur Park,,sandstone,83.5,70.6,CA,1,1
str,Bende-Ameki,Ameki,,,41.3,38,NG,1,1
str,Benton,,,marl/conglomerate,93.9,89.8,US,1,1
str,Black Creek,Donoho Creek,,sandstone,83.5,70.6,US,1,1
str,Bracklesham,Earnley,,sandstone,47.8,41.3,UK,1,1
str,Chalk,,,chalk/marl,100.5,89.8,UK,1,2
str,Chalk,West Melbury Marly Chalk,Cambridge Greensand,marl,105.3,99.6,UK,2,3
str,Chesapeake,Calvert,,marl,15.97,13.82,US,2,2
str,Chesapeake,Calvert,Calvert Beach,claystone,15.97,11.608,US,2,2
str,Chesapeake,Calvert,Plum Point,"claystone,conglomerate/claystone",15.97,13.82,US,9,11
str,Chesapeake,Choptank,,,13.82,11.62,US,1,1
str,Chesapeake,Old Church,,,28.4,23.03,US,1,1
str,Chesapeake,St. Marys,,,11.62,7.246,US,1,1
str,Chesapeake,Yorktown,,sandstone,5.333,3.6,US,1,2
str,Colorado,Carlile Shale,Fairport,chalk,93.9,89.8,US,1,1
str,Colorado,Niobrara,,"chalk,""limestone""",89.8,83.6,US,2,3
str,Colorado,Niobrara,Smoky Hill Chalk,chalk,85.8,70.6,US,4,4
str,Izumi,Kita-ama,,mudstone,70.6,66,JP,1,1
str,Maikop,,,,28.1,23.03,AZ,1,1
str,Monmouth,Mount Laurel,,,83.5,66,US,1,2
str,Pamunkey,Aquia,Piscataway,,58.7,55.8,US,1,1
str,Pamunkey,Nanjemoy,,,55.8,48.6,US,1,2
str,Rancocas,Hornerstown,,marl,70.6,66,US,3,3
str,Rolling Downs,Toolebuc,,lime mudstone,105.3,99.6,AU,3,3
str,Selma,,,"""limestone""",85.8,70.6,US,2,5
str,Selma,Mooreville Chalk,,"""limestone"",chalk",83.5,70.6,US,8,11
str,Upper Yezo,Osoushinai,Upper Sandstone,sandstone,83.5,70.6,JP,1,1
str,Wealden,Tunbridge Wells Sand,Grinstead Clay,sandstone,140.2,136.4,UK,1,1
str,Yatuo,Nanpo,Tomari,sandstone,23.03,5.333,JP,1,1
str,Yezo,Hakobuchi,Lower sandy Siltstone,siltstone,70.6,66,JP,8,8
