Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elephantidae&taxon_reso=species&ident=all,,,,,,,,,,,,,,,
Access Time,Wed 2022-02-23 05:54:10 GMT,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,
,base_name,Elephantidae,,,,,,,,,,,,,,
,idreso,species,,,,,,,,,,,,,,
,idtype,all,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,
Elapsed Time,0.0445,,,,,,,,,,,,,,,
Records Found,965,,,,,,,,,,,,,,,
Records Returned,965,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
198075,occ,,R,20409,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,2020
198075,occ,9633,,20409,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,939
198076,occ,,R,20409,Mammuthus meridionalis,species,47879,,Mammuthus meridionalis,species,46026,Irvingtonian,,1.8,0.3,2020
198076,occ,9634,,20409,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,939
198094,occ,,,20412,Mammuthus cf. imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,3083
198141,occ,,,20418,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,1200
198152,occ,,R,20420,Elephas columbi,species,46017,recombined as,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,1302
198152,occ,9647,,20420,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,6294
198237,occ,,,20432,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,3574
198295,occ,,,20440,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Rancholabrean,,0.3,0.012,2050
198347,occ,,,20452,Mammuthus cf. columbi,species,47873,,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,2725
198367,occ,,R,20454,Mammuthus cf. meridionalis,species,47879,,Mammuthus meridionalis,species,46026,Irvingtonian,,1.8,0.3,2725
198367,occ,9676,,20454,Mammuthus cf. hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,6294
198449,occ,,,20475,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,2615
198551,occ,,R,20482,Archidiskodon meridionalis,species,44256,recombined as,Mammuthus meridionalis,species,46026,Irvingtonian,,1.8,0.3,3567
198551,occ,9719,,20482,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,6294
198677,occ,,R,20498,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,1899
198677,occ,9741,,20498,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,6294
198700,occ,,,20500,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,1916
198853,occ,,,20516,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,3099
198891,occ,9775,,20522,Mammuthus imperator ?,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,939
198913,occ,,,20527,Mammuthus columbi,species,47873,,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,2018
198957,occ,9790,,20530,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,6202
198978,occ,,,20533,Elephas columbi,species,46017,recombined as,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,1302
198991,occ,,,20538,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,2392
198999,occ,,R,20540,Mammuthus cf. columbi,species,47873,,Mammuthus columbi,species,46017,Blancan,,4.9,1.8,2018
199009,occ,,,20543,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,2391
199011,occ,,,20545,Mammuthus primigenius,species,47880,,Mammuthus primigenius,species,46027,Irvingtonian,,1.8,0.3,4222
199012,occ,,R,20546,Mammuthus meridionalis,species,47879,,Mammuthus meridionalis,species,46026,Irvingtonian,,1.8,0.3,2320
199012,occ,9805,,20546,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,6294
199016,occ,,,20549,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,2320
199165,occ,,,20563,Mammuthus hayi,species,47876,,Mammuthus hayi,species,44254,Irvingtonian,,1.8,0.3,1200
199197,occ,,,20568,Mammuthus cf. imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Irvingtonian,,1.8,0.3,6202
199225,occ,,R,20569,Mammuthus imperator,species,47877,subjective synonym of,Mammuthus columbi,species,46017,Late Pleistocene,,0.126,0.0117,1936
